абитуриент;выпускник
бунтовать;подавлять
бурить;покоить
бывалый;новичок
бывальщина;небывальщина
бывать;отсутствовать
былое;настоящее
быстротечность;долгота
бытие;небытие
бытовать;отсутствовать
важнецкий;неизвестный
вакантный;занятый
варвар;образованный
варварский;цивилизованный
варварство;развитость
вариационный;постоянный
вариация;конвергенция
варить;разжигать
вбегать;выбегать
вбивать;выбивать
вбирание;распространение
вваливаться;выходить
ввезти;вывезти
вверху;внизу
ввечеру;поутру
ввинчивать;вывинчивать
ввозной;вывозной
вдвигать;высовывать
вдоль;поперёк
вдох;выдох
вдохновлять;убивать
вдохновляться;охлаждаться
вдруг;постепенно
вдыхание;выдыхание
вдыхать;выдыхать
ведение;подчинение
ведомый;неведомый
вежливо;грубо
вежливость;грубость
везде;нигде
везучесть;невезучесть
везучий;невезучий
век;мгновенье
велегласный;тихий
велеть;подчиняться
великанский;маленький
величественность;будничность
величественный;ничтожный
венерик;здоровый
венесекция;сокрытие
вербовщик;рабочий
вернее;ошибочно
верно;неверно
вернуться;уйти
вертеть;распрямлять
вертикаль;горизонталь
вертикально;горизонтально
верх;низ
верховенство;подчинение
верховодить;подчинённый
верховой;низовой
верховье;низовье
верченый;наполнить
веселить;печалить
весенний;осенний
вескость;необоснованность
весна;осень
вест;восток
вести;подчиняться
вето;разрешение
ветреность;основательность
ветреный;безветренный
ветхозаветный;современный
ветхость;юность
вечер;утро
вечерний;утренний
вещать;молчать
вещий;глупый
взад;прямо
взаимозависимость;независимость
взаимозаменяемый;незаменимый
взаимоисключающий;совместимый
взаимосвязанность;независимость
взаправдашний;поддельный
взбалмошность;рассудительность
взбегать;сбегать
взбодрить;разрушить
взбрызгиваться;подчиняться
взбухать;сжиматься
взвевать;опускать
взвеять;опустить
взвинчивать;понижать
взволновать;успокоить
взволноваться;успокоиться
вздвоить;одиночный
вздорить;дружить
вздувать;понижать
вздуваться;опускаться
вздутие;дефляция
вздымание;опущение
вздымать;опускать
вздыматься;опускаться
взмести;опустить
взметать;опускать
взмылить;преуменьшить
взмыть;опуститься
взнос;заём
взорваться;успокаиваться
взрастить;свить
взрослый;дитя
взрыв;спад
взрывать;упрочивать
взрываться;упрочиваться
взыскательно;снисходительно
взыскательный;снисходительный
взяточничество;честность
видение;слепота
видность;заурядность
видоизменение;застой
видоизменяться;постоянный
виктория;разгром
виллан;горожанин
вина;правота
винить;оправдывать
виноватить;извинять
виновник;невинный
виновный;невинный
винтить;останавливаться
виртуальный;невозможный
витальный;мёртвый
витийственный;содержательный
вклад;заём
вкладывать;брать
вкрутиться;вывернуться
влага;сухость
влагать;выселять
влагонепроницаемый;промокаемый
влажно;сухо
властвование;подчинение
властвовать;подчиняться
властность;преодолимость
властолюбивый;миролюбивый
влево;вправо
влезать;слезать
влёт;вылет
влетать;вылетать
влететь;вылететь
влечь;отталкивать
вливать;отключать
влияние;слабость
влиять;бездеятельный
вложить;сохранять
влюбиться;разлюбить
вмешательство;невмешательство
вмонтировать;расшатать
внебрачный;законнорождённый
внедрение;ликвидация
внедрять;ликвидировать
внезапность;предсказуемость
внеплановый;обычный
внесение;вынесение
внешнеполитический;внутриполитический
внештатный;штатный
вникать;верхоглядничать
внимательно;рассеянно
внутри;снаружи
внушение;поощрение
внушить;распустить
внятность;нечленораздельность
внятный;неотчётливый
в;из
вовлекать;выводить
вовлечение;ускорение
вогнутость;выпуклость
водворение;выдворение
водворяться;выезжать
водиться;необычный
водонепроницаемый;промокаемый
водоотталкивающий;промокаемый
водоплавающий;сухопутный
водополь;засуха
водоупорный;промокаемый
военспец;профан
вождь;подчинённый
возбудиться;затормозить
возвеличивание;порицание
возвеличить;принизить
возводить;разрушать
возвратить;занять
возвращение;уход
возвыситься;унизиться
возвышаться;дефицитный
возглавлять;подчиняться
возгордиться;устыдиться
воздавать;хвалить
воздвигнуть;разрушить
воздействие;игнорирование
возлагать;разбрасывать
возмещение;нанесение
возможно;невозможно
возможный;невозможный
возмутиться;успокаиваться
возмущаться;успокаиваться
возненавидеть;полюбить
вознесение;опущение
вознесенье;опущение
вознести;отругать
вознестись;снизиться
возноситься;низвергаться
возобладать;покориться
возрастать;убывать
возродить;разрушить
возрождаться;отживать
воин;мир
воинский;гражданский
война;мир
волевой;безвольный
волновать;заглушать
волнообразный;прямая
вольготный;точный
волюнтаристский;добровольный
вооружаться;разоружаться
воплощение;копие
вопреки;благодарить
воскресать;умирать
воскресный;будничный
воскрешение;убийство
воспевать;злословить
воспитатель;ученик
воспитательница;ученица
воспитывать;отучать
воспламенение;гашение
воспламенять;уничтожать
восполняться;наноситься
воспомнить;запамятовать
воспрепятствование;поддержка
воспретить;разрешить
воспрещаться;разрешаться
восприимчивый;невосприимчивый
воссоздавать;брать
воссоздание;нарушение
восставать;подавлять
восточнее;западнее
восточный;западный
востроглазый;рассеянный
восхитительный;современный
восхищение;отвращение
восход;закат
восхождение;падение
вотивный;светский
впалый;выпуклый
впечатлительность;невосприимчивость
впихивать;высовывать
вползать;выползать
вправо;влево
впрыгивать;спрыгивать
впрыскивать;выводить
впуск;выход
впускать;выпускать
впускной;выпускной
впустить;запретить
вражда;дружба
враг;друг
вражески;дружески
вражеский;дружеский
вражий;товарищеский
враньё;правда
врасплох;постепенно
врастать;уменьшаться
врать;оправдывать
вредоносный;полезный
времяпрепровождение;работа
врозь;вместе
вручение;получение
вручить;получить
всасывать;выделять
всезнайство;невежество
вселение;выдворение
всеобщность;частность
всеохватность;частичность
всесильный;бессильный
всесторонний;односторонний
вскакивать;садиться
вскарабкиваться;спускаться
всколыхнуть;заглушить
вскрытие;сокрытие
вслед;навстречу
вслух;шёпот
всовывать;высовывать
вспаханный;невспаханный
вспоминаться;забываться
вспомниться;забыться
вспрыгивать;спрыгивать
вспрыгнуть;спрыгнуть
вспыльчиво;уравновесить
вспышка;затухание
вставить;вынести
вставление;изъятие
встревожить;успокоить
встревожиться;успокоиться
встретить;проводить
встреча;разлука
встречник;союзник
встречный;попутный
вступать;выступать
всячески;никак
всяческий;однообразный
втаскать;вынести
втекать;вытекать
втёмную;рассчитать
втиснуть;вытолкнуть
втягиваться;выходить
вульгаризация;усложнение
вульгарность;нетривиальность
вульгарный;приличный
вход;выход
входить;выходить
входной;выходная
вхождение;выход
въедливость;общность
выбираться;приезжать
выбоина;холм
выборный;назначать
выбраковывать;вводить
выбрать;назначить
выбрасывание;забрасывание
выбрасывать;впитывать
выбрасываться;накопляться
выбросить;нанять
выбывание;приезд
выбыть;прибыть
вываливать;проваливаться
вывезти;ввозить
выверенный;ошибочный
выветривание;появление
вывинтить;завинтить
выводимость;несводимость
выводной;исходный
выворот;лицо
выгадать;потратить
выгиб;выпрямление
выгибать;выпрямлять
выговаривать;молчать
выговор;поощрение
выговорить;промолчать
выгородить;подверженный
выгружаться;загружаться
выгрузка;погрузка
выдавать;получать
выдаваться;вдаваться
выдавить;заключить
выдать;взять
выдвигаться;задвигаться
выделение;скрывание
выделить;малозаметный|скрыть
выделываться;обычный
выдерживать;нарушать
выдержка;горячность
выдох;вдох
выдыхать;вдыхать
выдюжить;сорваться
выздоравливать;заболевать
выздороветь;заболеть
выздоровление;заболевание
вызываться;подавляться
выиграть;проиграть
выигрышный;проигрышный
выискать;спрятать
выйти;начаться
выкаблучивать;бездействовать
выказывание;сокрытие
выкапывать;закапывать
выкидывание;забрасывание
выкидывать;экономить
выключать;включать
выкуп;введение
вылезать;влезать
вылет;влёт
вылетать;влетать
вылететь;влететь
выливать;вливать
вылить;влить
вымереть;проживать
вымолвить;промолчать
вымочить;высушить
вымученный;добровольный
вынудить;добровольный|подчиниться
вынуждать;подчиняться
выпивать;демонтировать
выплата;убыток
выползать;вползать
выполнение;нарушение
выправить;испортить
выправление;порча
выправляться;ломаться
выпуклость;вогнутость
выпуск;впуск
выпускник;абитуриент
выпятить;впалый
выпячивание;прогиб
выпячивать;задвигать
выражение;сокрытие
выразить;скрыть
вырваться;молчать
вырвать;потерять
вырисовываться;исчезать
вырождаться;развиваться
выронить;поднять
вырубаться;включаться
выругать;похвалить
выругаться;получить
выручать;губить
вырывать;назначать
высветлиться;скрыться
высветлять;затенять
высвобождение;захватывание
высказать;промолчать
высказываться;молчать
выскакивать;вскакивать
выскочить;вскочить
выслушивать;недослушивать
высмотреть;назначить
высокий;низкий
высоколиквидный;неликвидный
высокооплачиваемый;расходный
высокопарный;бедный
высокопробный;бракованный
высокоразвитый;дикий
высокостабильный;нестабильный
высота;низина
высохнуть;влажный
выставить;принять
выступ;выемка
выступление;вступление
высушивание;ирригация
высчитывание;прибавление
высчитываться;добавляться
высылать;присылать
высыхать;толстеть
вытаскивать;ставить
вытекать;предыдущий
вытечь;нынешний
вытягивание;сжимать
вытянуться;снизиться
выуживание;сжимать
выхваливать;очернять
выход;исчезновение
выцеживаться;сжиматься
вычурность;простота
выявляться;закрываться
гадкий;приятный
газовать;медлить
галантность;упрощённость
гармонировать;отодвигаться
гаситься;подниматься
гасить;генерировать
генерирование;погашение
гениальный;маленький
герметизировать;открывать
герметический;открытый
герметичный;открытый
гера;трус
геройски;трусливо
геройский;трусливый
гетерия;разрозненность
гиперборейский;южный
главное;второстепенное
гладкошёрстный;пушистый
глобальный;спорадический
глубина;поверхность
глубокомысленность;легковесность
глупеть;умнеть
глухо;звонкий
глухость;звонкость
глушение;заведение
глушить;возбуждать
глушиться;восставать
гнать;медлить
гнёт;свобода
гнуться;выпрямляться
говорить;молчать
говорливость;молчаливость
годится;нельзя
годичный;многолетний
годовой;многолетний
головотяпский;ответственный
головотяпство;хозяйственность
голодание;изобилие
голодать;насыщаться
голодно;сытно
голосистый;безголосый
голословный;основательный
гомотетия;различие
гомруль;колониализм
гордиться;стыдиться
гордыня;смирение
гореть;гасить
горизонталь;профиль
горизонтальный;вертикальный
горький;сладкий
горючий;счастливый
горячить;холодить
господствование;принижение
готовность;ущербность
готовый;неподходящий
гофрировочный;прямая
градационный;непоследовательный
грамотность;неосведомлённость
гранулированный;ровный
гранулярность;ровность
гранулярный;ровный
графство;республика
грациозность;трудность
греховный;святой
грешница;праведница
гробануться;найтись
гром;тишина
громкий;тихий
громогласно;шёпот
громогласный;тихий
громоздить;разбирать
громоздкий;плоский
громоподобный;тихий
грубиян;образованный
грубоватый;воспитанный
группирование;рассогласованность
группировать;разукрупнять
грустить;радоваться
грязно;чисто
грязнуля;чистюля
грязь;чистота
губительно;спасительно
губительность;спасительность
губительный;спасительный
гуманизм;жестокость
гуманист;мизантроп
гуманно;жестокий
густеть;редеть
да;нет
давление;свобода
давнопрошедший;актуальный
дай;на
дальнозоркий;близорукий
дальнозорко;близорукий
дальнозоркость;неосмотрительность
дальность;близость
данные;бездарность
дарить;получать
дармовой;платный
даровитость;бездарность
даровой;платный
двигать;тормозить
двоедушный;непритворный
двойник;разный
двойной;одиночный
двусмысленно;понятно
двухдонный;явный
дебаланс;баланс
дебетовать;кредитовать
деблокирование;блокирование
деблокировать;блокировать
девственность;бесчестие
девственный;возделать
деза;правда
дезинтегрировать;сгруппировать
дезинфекция;заражение
дезинфицировать;заражать
дезориентировать;простой
декадентский;прогрессивный
декламировать;молчать
декларативный;письменный
декодировать;зашифровать
деликатность;грубость
делить;соединять
дело;бездействие
демаскирование;сокрытие
демобилизация;мобилизация
демобилизовать;мобилизовать
демократичный;тоталитарный
демонстративный;неумышленный
демонстрация;сокрытие
демонтажный;монтажный
демонтировать;собрать
демпинг;импорт
демпфирование;заведение
демпфировать;усиленный
день;ночь
депозит;заём
деревенский;городской
деревня;город
дерзить;помнить
дерзновенность;малодушие
дерзновенный;трусливый
дерзостность;трусость
дерзость;уважение
дестабилизироваться;укрепиться
детализировать;общий
детальный;общий
детектировать;скрывать
детериорация;улучшение
детерминировать;неопределённый
детский;зрелый
дефективный;совершенный
децентрализовать;локализовать
дешевизна;дороговизна
дёшево;дорого
дешифрирование;кодирование
дешифрировать;зашифровывать
дешифровка;шифровка
деяние;бездействие
деятель;созерцатель
деятельно;бездеятельно
диалектик;метафизик
диалектически;метафизически
диалектический;метафизический
дивный;ужасный
дидактический;легкомысленный
дизъюнкция;конъюнкция
дикарь;образованный
дикорастущий;культивировать
дилетантский;профессиональный
динамик;статика
динамически;статически
динамический;спокойный
директивность;мягкость
директор;подчинённый
дискретность;непрерывность
дискриминация;равноправие
диспропорциональность;соразмерность
дистанция;близость
дисциплинированность;расхлябанность
дитё;уничтожение
дифференцирование;сходство
дифференцировать;объединять
длинноватый;сплющенный
длинноволосый;коротковолосый
длиннохвостый;короткохвостый
длинношеий;короткошеий
длительность;краткость
дневать;ночевать
дневной;ночной
добавить;сократить
добавляться;убывать
добивать;начальный
добровольно;принудительно
добродетель;порка
добродетельность;порочность
добродетельный;порочный
доброкачественность;непригодность
добрососедский;враждебный
добротно;нестабильный
доброхотный;необходимый
доверенность;недоверие
доверенный;точный
доверие;недоверие
доверительный;недоверчивый
доверчиво;недоверчиво
довершать;начинать
довести;потерять
довольно;мало
довольство;бедность
догадливый;тупой
догматический;гибкий
догнать;потерять
договор;спор
догонять;убегать
догореть;начаться
доделываться;начинаться
додумываться;выезжать
доживать;проиграть
дозволение;запрещение
дозволительно;запрещаться
дозволять;запрещать
дозрелый;неспелый
дойти;покориться
доказать;опровергнуть|предположительный
доказательство;опровержение
доказывать;неочевидный|опровергать
докончить;незаконченный
докука;спокойствие
докуриться;возникать
долгий;короткий
долговечность;недолговечность
долгожданный;неожиданный
должен;неповинный
должник;кредитор
долить;неудача
домашний;дикий
домоделанный;производственный
домодельный;производственный
домостроевский;прогрессивный
домострой;прогрессивность
дополнить;обрезать
дополняться;сужаться
допрашивать;отвечать
допускать;нынешний
допущение;запрещение
дорога;бездорожье
дорого;дёшево
дороговизна;дешевизна
дорогостоящий;дешёвый
дорожить;обесценивать
досада;удовлетворение
досель;пот
доскональность;общность
дословный;неточный
доставать;ставить
доставить;отправить
доставлять;вывозить
доставляться;уходить
достаточный;недостаточный
достигать;недоступный
достигнуть;проиграть
достижимость;недоступность
достопамятный;забвенный
достославный;неизвестный
досылать;получать
досягаемый;недосягаемый
дотирование;вред
доходить;прибавляться
доходчивый;трудный
драматичность;простота
драпать;притекать
драчливый;миролюбивый
дремать;бодрствовать
дремота;бодрствование
дробиться;соединяться
дробление;объединение
дружба;вражда
дружелюбно;враждебно
дружелюбный;враждебный
дружеский;антагонистичный
дружить;враждовать
дружный;враждебный
дружок;конкурент
дряблость;прогресс
дряхлость;юность
дряхнуть;модный
дуальный;единообразный
дурнеть;хорошеть
дурно;хороший
духовенство;мирянин
духовность;бездуховность
душевно;телесно
душевный;отличаться
дьявольский;милосердый
евхаристия;отбавление
единовременный;многоразовый
единогласный;многий
единоличный;государственный
единомышленник;противник
единомышленница;противница
единство;рассогласованность
ёмкий;пустой
ералаш;порядок
ерепениться;соглашаться
ертаул;арьергард
ехидный;простодушный
ещё;уж
жадность;бескорыстие
жадный;бескорыстный
жаркий;холодно
жарковатый;холодный
жатва;сев
желание;нежелание
желательно;нежелательно
желательный;ненужный
желать;снижать
желвак;дефляция
железный;слабый
жёлчный;добрый
жена;любовница
женить;разводить
женитьба;развод
женский;мужской
женственность;мужественность
женственный;мужественный
женщина;мужчина
жеребятина;необычность
жестковатость;мягкость
жестокосердный;милосердный
жечь;леденить
живой;необитаемый
живинка;незаинтересованность
живописный;уродливый
живость;медлительность
жидкий;густо
жизнедеятельный;бездейственный
жизнерадостный;тяжёлый
жизнестойкость;недолговечность
жизнь;смерть
жилец;хозяин
жилица;хозяйка
жиреть;худеть
жирность;худоба
жисть;смерть
жить;умирать
жить-поживать;умирать
житьё;смерть
жмурик;жизненный
жутковатый;лёгкий
за;против
заалеться;погаснуть
забастовка;работа
забирать;вручать
забираться;находиться
